model,run,group,persona,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Education,hs,0.6834954179396985,0.6683417085427136,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Education,he,0.6872029325476539,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Gender,m,0.695070867613924,0.6532663316582915,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Gender,f,0.6938862624094887,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Loneliness,nl,0.6765876757638977,0.6331658291457286,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Loneliness,sl,0.6931499867889823,0.628140703517588,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Political,l,0.6917753475476301,0.6331658291457286,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Political,r,0.7097537186138085,0.6432160804020101,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Political,c,0.7079535694740203,0.6432160804020101,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Race,w,0.7012639264043345,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Race,b,0.6975869373352148,0.6633165829145728,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Race,a,0.6857084707587225,0.6482412060301508,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Religion,chr,0.6967093007978552,0.6532663316582915,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Religion,mus,0.6896020726321616,0.6130653266331658,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Religion,jew,0.6918236917584684,0.6532663316582915,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Religion,ath,0.6687641812157418,0.6180904522613065,199,0,199
gpt_oss_120b,results_gpt_oss_120b_hatexplain_r3,Religion,hin,0.6997207005303759,0.6582914572864321,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Age,15,0.6574399038199358,0.6030150753768844,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Age,35,0.6404491540423363,0.5628140703517588,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Age,65,0.6223260692876827,0.5303030303030303,198,1,199
mistral_medium,results_mistral_medium_hatexplain_r1,Education,nfe,0.6333865303241062,0.5527638190954773,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Education,hs,0.6392255321879343,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Education,he,0.6393072194993369,0.5628140703517588,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Gender,m,0.6582918146046375,0.6180904522613065,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Gender,f,0.6478529749664839,0.5778894472361809,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Loneliness,nl,0.6272528559574363,0.5326633165829145,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Loneliness,sl,0.6273693317927777,0.5477386934673367,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Political,l,0.6317001774338773,0.5678391959798995,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Political,r,0.6512118062961867,0.6030150753768844,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Political,c,0.6444399722827596,0.5778894472361809,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Race,w,0.668979187927282,0.6231155778894473,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Race,b,0.654192847148726,0.5879396984924623,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Race,a,0.6671786049199562,0.6130653266331658,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Religion,chr,0.6419365901973053,0.5778894472361809,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Religion,mus,0.656344300720607,0.6030150753768844,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Religion,jew,0.6475372391763128,0.5577889447236181,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Religion,ath,0.6447299331546548,0.5628140703517588,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r1,Religion,hin,0.6440837960351906,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Age,15,0.6460399396492531,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Age,35,0.636418484480913,0.5577889447236181,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Age,65,0.6221387698947305,0.5380710659898477,197,2,199
mistral_medium,results_mistral_medium_hatexplain_r2,Education,nfe,0.6295048206307294,0.5477386934673367,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Education,hs,0.6493233281559593,0.592964824120603,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Education,he,0.6471654272924559,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Gender,m,0.6503278262129454,0.5979899497487438,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Gender,f,0.6383227021041951,0.5577889447236181,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Loneliness,nl,0.6388794638393019,0.5477386934673367,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Loneliness,sl,0.6375507041175518,0.5477386934673367,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Political,l,0.627883312484738,0.5678391959798995,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Political,r,0.6388275045533276,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Political,c,0.6555127484635712,0.6130653266331658,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Race,w,0.6669442109959643,0.6130653266331658,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Race,b,0.6707626287841737,0.6130653266331658,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Race,a,0.6616414609069259,0.5979899497487438,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Religion,chr,0.645631200519493,0.5728643216080402,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Religion,mus,0.6549505412068121,0.5979899497487438,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Religion,jew,0.6604420824477969,0.5778894472361809,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Religion,ath,0.6513048399080646,0.592964824120603,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r2,Religion,hin,0.6397977289102623,0.5879396984924623,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Age,15,0.6439726235552583,0.5778894472361809,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Age,35,0.6490033487761182,0.5778894472361809,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Age,65,0.642627783377183,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Education,nfe,0.6390864475992977,0.5628140703517588,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Education,hs,0.6446519779239843,0.5728643216080402,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Education,he,0.64063111285663,0.5979899497487438,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Gender,m,0.6507921624974807,0.592964824120603,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Gender,f,0.6404539707649816,0.5628140703517588,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Loneliness,nl,0.6239482615352243,0.5376884422110553,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Loneliness,sl,0.6333793087051071,0.5527638190954773,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Political,l,0.6202288592000439,0.542713567839196,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Political,r,0.6422935314422087,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Political,c,0.6533501395022628,0.6080402010050251,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Race,w,0.6847445543731207,0.6180904522613065,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Race,b,0.6623684972441267,0.5829145728643216,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Race,a,0.678834001475071,0.6331658291457286,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Religion,chr,0.6427085567379688,0.5678391959798995,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Religion,mus,0.6461857008802517,0.592964824120603,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Religion,jew,0.6396432789660936,0.5477386934673367,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Religion,ath,0.6433705227741203,0.5879396984924623,199,0,199
mistral_medium,results_mistral_medium_hatexplain_r3,Religion,hin,0.6418856573646432,0.5628140703517588,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Age,15,0.6542219386139806,0.5778894472361809,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Age,35,0.6493391219386928,0.5628140703517588,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Age,65,0.6620159570837889,0.5728643216080402,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Education,nfe,0.6477792821947812,0.592964824120603,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Education,hs,0.6554578665096431,0.5879396984924623,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Education,he,0.6633136660899318,0.5979899497487438,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Gender,m,0.6535722321164241,0.6030150753768844,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Gender,f,0.6561009368233578,0.5829145728643216,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Loneliness,nl,0.648499850742955,0.5728643216080402,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Loneliness,sl,0.6512558494137445,0.5728643216080402,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Political,l,0.6601845732457777,0.5879396984924623,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Political,r,0.6449219747292936,0.5778894472361809,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Political,c,0.6692086988557736,0.6030150753768844,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Race,w,0.6674956507054307,0.628140703517588,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Race,b,0.6705538213914465,0.6231155778894473,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Race,a,0.6885844175461772,0.6482412060301508,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Religion,chr,0.6755487297309687,0.6432160804020101,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Religion,mus,0.6759596089286343,0.6683417085427136,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Religion,jew,0.6730670105847075,0.628140703517588,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Religion,ath,0.6613598587306647,0.6180904522613065,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r1,Religion,hin,0.664046533814796,0.5979899497487438,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Age,15,0.670961920620172,0.6080402010050251,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Age,35,0.6640688405032577,0.6231155778894473,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Age,65,0.6361383154981181,0.5527638190954773,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Education,nfe,0.6445276849227385,0.5979899497487438,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Education,hs,0.6627542236107514,0.6080402010050251,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Education,he,0.6721662772556056,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Gender,m,0.6770594608615966,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Gender,f,0.6622559000240755,0.5778894472361809,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Loneliness,nl,0.6416955327846103,0.5879396984924623,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Loneliness,sl,0.6264950783287827,0.5577889447236181,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Political,l,0.6432436316365525,0.5778894472361809,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Political,r,0.660397409311485,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Political,c,0.6615156685238521,0.6030150753768844,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Race,w,0.6812530901660764,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Race,b,0.665771448112319,0.6080402010050251,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Race,a,0.6747493850815415,0.5879396984924623,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Religion,chr,0.6620020568011278,0.6030150753768844,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Religion,mus,0.6659894876940361,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Religion,jew,0.659950078073033,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Religion,ath,0.6590810189908629,0.6231155778894473,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r2,Religion,hin,0.6697532908514288,0.6331658291457286,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Age,15,0.6890972901645263,0.5979899497487438,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Age,35,0.6767218152791163,0.6482412060301508,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Age,65,0.6628722996039458,0.5829145728643216,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Education,nfe,0.6320963955942257,0.5678391959798995,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Education,hs,0.6733242496636019,0.6231155778894473,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Education,he,0.6543066465974353,0.5879396984924623,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Gender,m,0.6823790968862281,0.6231155778894473,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Gender,f,0.6814724481495181,0.5979899497487438,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Loneliness,nl,0.6428408318343294,0.5778894472361809,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Loneliness,sl,0.6316804184315119,0.5577889447236181,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Political,l,0.6434103720753441,0.5577889447236181,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Political,r,0.6481843738328708,0.5778894472361809,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Political,c,0.6667779405010964,0.6130653266331658,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Race,w,0.6623064381288868,0.5979899497487438,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Race,b,0.6654148003894345,0.5879396984924623,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Race,a,0.6821051625744599,0.6331658291457286,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Religion,chr,0.6562535153676352,0.5678391959798995,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Religion,mus,0.6910560435382074,0.6582914572864321,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Religion,jew,0.6590591332649152,0.6030150753768844,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Religion,ath,0.664460700711452,0.6180904522613065,199,0,199
qwen3_32b,results_qwen3_32b_hatexplain_r3,Religion,hin,0.6595178963606783,0.5979899497487438,199,0,199
