model,run,group,persona_text,accuracy,correct,total,missing,matches_group
mistral_medium,r2,BY,A 45-year-old African American Female,0.6733466933867736,336,499,1,False
mistral_medium,r2,BY,A 45-year-old Hispanic Female,0.666,333,500,0,False
mistral_medium,r2,BY,A 45-year-old Caucasian Female,0.668,334,500,0,False
mistral_medium,r2,LO,A 25-year-old African American Male,0.694,347,500,0,False
mistral_medium,r2,LO,A 25-year-old Hispanic Male,0.704,352,500,0,False
mistral_medium,r2,LO,A 25-year-old Caucasian Male,0.698,349,500,0,False
mistral_medium,r2,LO,A 25-year-old African American Female,0.7094188376753507,354,499,1,False
mistral_medium,r2,LO,A 25-year-old Hispanic Female,0.7,350,500,0,False
mistral_medium,r2,LO,A 25-year-old Caucasian Female,0.7,350,500,0,False
mistral_medium,r2,LO,A 45-year-old African American Male,0.708,354,500,0,False
mistral_medium,r2,LO,A 45-year-old Hispanic Male,0.7094188376753507,354,499,1,True
mistral_medium,r2,LO,A 45-year-old Caucasian Male,0.71,355,500,0,False
mistral_medium,r2,LO,A 45-year-old African American Female,0.7014028056112225,350,499,1,False
mistral_medium,r2,LO,A 45-year-old Hispanic Female,0.708,354,500,0,True
mistral_medium,r2,LO,A 45-year-old Caucasian Female,0.71,355,500,0,False
mistral_medium,r2,LY,A 25-year-old African American Male,0.68,340,500,0,False
mistral_medium,r2,LY,A 25-year-old Hispanic Male,0.682,341,500,0,True
mistral_medium,r2,LY,A 25-year-old Caucasian Male,0.7,350,500,0,False
mistral_medium,r2,LY,A 25-year-old African American Female,0.6813627254509018,340,499,1,False
mistral_medium,r2,LY,A 25-year-old Hispanic Female,0.694,347,500,0,True
mistral_medium,r2,LY,A 25-year-old Caucasian Female,0.694,347,500,0,False
mistral_medium,r2,LY,A 45-year-old African American Male,0.684,342,500,0,False
mistral_medium,r2,LY,A 45-year-old Hispanic Male,0.685370741482966,342,499,1,False
mistral_medium,r2,LY,A 45-year-old Caucasian Male,0.692,346,500,0,False
mistral_medium,r2,LY,A 45-year-old African American Female,0.6833667334669339,341,499,1,False
mistral_medium,r2,LY,A 45-year-old Hispanic Female,0.69,345,500,0,False
mistral_medium,r2,LY,A 45-year-old Caucasian Female,0.694,347,500,0,False
mistral_medium,r2,WO,A 25-year-old African American Male,0.712,356,500,0,False
mistral_medium,r2,WO,A 25-year-old Hispanic Male,0.728,364,500,0,False
mistral_medium,r2,WO,A 25-year-old Caucasian Male,0.73,365,500,0,False
mistral_medium,r2,WO,A 25-year-old African American Female,0.7434869739478958,371,499,1,False
